ESTACION,PRODUCTO,FECHA,Ventas Acumuladas,Ventas Acumuladas $,Volumen Total Vendido,Precio Cartel,Comision $,COMISION
LAS HERAS,GO,2023-05-01,234,51073,234,217,7409,31
LAS HERAS,GO,2023-05-02,649,90188,414,217,13084,31
LAS HERAS,GO,2023-05-03,1230,126335,581,217,18328,31
LAS HERAS,GO,2023-05-04,1781,119652,550,217,17358,31
LAS HERAS,GO,2023-05-05,2283,109076,501,217,15824,31
LAS HERAS,GO,2023-05-06,2710,93040,427,217,13498,31
LAS HERAS,GO,2023-05-07,2923,46143,212,217,6694,31
LAS HERAS,GO,2023-05-08,3155,50415,231,217,7314,31
LAS HERAS,GO,2023-05-10,3156,404,1,217,58,31
LAS HERAS,GO,2023-05-12,3462,66517,305,217,9650,31
LAS HERAS,GO,2023-05-13,3771,66131,308,214,8803,28
LAS HERAS,GO,2023-05-14,3896,27159,124,217,3940,31
LAS HERAS,GO,2023-05-15,4283,84253,387,217,12223,31
LAS HERAS,GO,2023-05-16,4715,93903,431,217,13623,31
LAS HERAS,GO,2023-05-17,5057,76808,341,225,13361,39
LAS HERAS,GO,2023-05-18,5478,94776,421,225,16486,39
LAS HERAS,GO,2023-05-19,5900,95028,422,225,12695,30
LAS HERAS,GO,2023-05-20,6159,58250,258,225,7782,30
LAS HERAS,GO,2023-05-21,6352,43346,192,225,5791,30
LAS HERAS,GO,2023-05-22,6737,86753,385,225,11590,30
LAS HERAS,GO,2023-05-23,7192,102186,454,225,13652,30
LAS HERAS,GO,2023-05-24,7570,85243,378,225,11388,30
LAS HERAS,GO,2023-05-25,8002,97121,431,225,12975,30
LAS HERAS,GO,2023-05-26,8335,75008,333,225,10021,30
LAS HERAS,GO,2023-05-27,8639,68312,303,225,9126,30
LAS HERAS,GO,2023-05-28,8982,77251,343,225,10320,30
LAS HERAS,GO,2023-05-29,9261,62608,278,225,8364,30
LAS HERAS,GO,2023-05-30,9540,62885,279,225,8401,30
LAS HERAS,GO,2023-05-31,10045,113546,504,225,15169,30
LAS HERAS,GO,2023-06-01,365,82217,365,225,10984,30
LAS HERAS,GO,2023-06-02,819,102152,454,225,13647,30
LAS HERAS,GO,2023-06-03,1232,92918,412,225,12413,30
LAS HERAS,GO,2023-06-04,1479,55599,247,225,7428,30
LAS HERAS,GO,2023-06-05,1860,85637,380,225,11441,30
LAS HERAS,GO,2023-06-06,2187,73743,327,225,9852,30
LAS HERAS,GO,2023-06-08,2504,71246,316,225,9518,30
LAS HERAS,GO,2023-06-09,2958,102201,454,225,13654,30
LAS HERAS,GO,2023-06-10,3288,74196,329,225,9912,30
LAS HERAS,GO,2023-06-11,3503,48264,214,225,6448,30
LAS HERAS,GO,2023-06-12,4030,118712,527,225,15859,30
LAS HERAS,GO,2023-06-13,4530,112497,499,225,15029,30
LAS HERAS,GO,2023-06-14,5108,129993,577,225,17367,30
LAS HERAS,GO,2023-06-15,5425,71446,317,225,9545,30
LAS HERAS,GO,2023-06-16,5963,120942,537,225,16157,30
LAS HERAS,GO,2023-06-17,6488,126738,524,241,24476,46
LAS HERAS,GO,2023-06-18,6512,5902,24,241,1139,46
LAS HERAS,GO,2023-06-19,6696,44536,184,241,8601,46
LAS HERAS,GO,2023-06-20,7041,83342,344,241,16095,46
LAS HERAS,GO,2023-06-21,7086,10806,44,241,1568,35
LAS HERAS,GO,2023-06-22,7380,71114,294,241,10322,35
LAS HERAS,GO,2023-06-23,7850,113373,469,241,16456,35
LAS HERAS,GO,2023-06-24,8280,103895,430,241,15081,35
LAS HERAS,GO,2023-06-25,8536,61861,256,241,8979,35
LAS HERAS,GO,2023-06-26,8881,83349,344,241,12098,35
LAS HERAS,GO,2023-06-27,9271,94426,390,241,13706,35
LAS HERAS,GO,2023-06-28,9756,117011,484,241,16985,35
LAS HERAS,GO,2023-06-29,10062,74081,306,241,10753,35
LAS HERAS,GO,2023-06-30,10432,89379,369,241,12974,35
LAS HERAS,GO,2023-07-01,458,110872,458,241,16093,35
LAS HERAS,GO,2023-07-02,773,76123,315,241,11049,35
LAS HERAS,GO,2023-07-03,1112,81791,338,241,11872,35
LAS HERAS,GO,2023-07-04,1519,98357,407,241,14277,35
LAS HERAS,GO,2023-07-05,1830,75115,310,241,10903,35
LAS HERAS,GO,2023-07-06,2331,121143,501,241,17584,35
LAS HERAS,GO,2023-07-07,2891,135271,559,241,19635,35
LAS HERAS,GO,2023-07-08,3334,110388,442,249,19011,42
LAS HERAS,GO,2023-07-09,3563,57200,229,249,9851,42
LAS HERAS,GO,2023-07-10,4113,137190,549,249,23627,42
LAS HERAS,GO,2023-07-11,4575,115196,461,249,15587,33
LAS HERAS,GO,2023-07-12,5059,120940,484,249,16364,33
LAS HERAS,GO,2023-07-13,5412,87938,352,249,11899,33
LAS HERAS,GO,2023-07-14,5943,132579,531,249,17939,33
LAS HERAS,GO,2023-07-15,6402,114365,458,249,15474,33
LAS HERAS,GO,2023-07-16,6658,64031,256,249,8664,33
LAS HERAS,GO,2023-07-17,6819,40052,160,249,5419,33
LAS HERAS,GO,2023-07-18,6965,36536,146,249,4943,33
LAS HERAS,GO,2023-07-19,7493,131780,528,249,17831,33
LAS HERAS,GO,2023-07-20,7898,101042,404,249,13672,33
LAS HERAS,GO,2023-07-21,8288,97212,389,249,13153,33
LAS HERAS,GO,2023-07-22,8703,103510,414,249,14006,33
LAS HERAS,GO,2023-07-23,8911,51945,208,249,7028,33
LAS HERAS,GO,2023-07-24,9259,86793,347,249,11744,33
LAS HERAS,GO,2023-07-25,9704,110965,444,249,15014,33
LAS HERAS,GO,2023-07-26,10243,134468,538,249,18194,33
LAS HERAS,GO,2023-07-27,10700,114076,457,249,15435,33
LAS HERAS,GO,2023-07-28,11182,120293,482,249,16277,33
LAS HERAS,GO,2023-07-29,11727,136099,545,249,18415,33
LAS HERAS,GO,2023-07-30,11946,54430,218,249,7365,33
LAS HERAS,GO,2023-07-31,12239,73173,293,249,9901,33
LAS HERAS,GO,2023-08-01,421,105124,421,249,14346,34
LAS HERAS,GO,2023-08-02,435,3468,13,249,473,34
LAS HERAS,GO,2023-08-03,443,2020,8,249,195,24
LAS HERAS,GO,2023-08-04,444,299,1,260,40,35
LAS HERAS,GO,2023-08-05,445,286,1,249,27,24
LAS HERAS,GO,2023-08-06,447,604,2,260,81,35
LAS HERAS,GO,2023-08-07,449,304,1,260,41,35
LAS HERAS,GO,2023-08-08,450,289,1,249,28,24
LAS HERAS,GO,2023-08-09,453,799,3,260,107,35
LAS HERAS,GO,2023-08-10,455,598,2,260,80,35
