,FECHASQL,UEN,Dia,Porcentaje,CODPRODUCTO,VENTAS
0,2023-05-01,ADOLFO CALLE,lunes,3.54%,GNC,2053.2
1,2023-05-02,ADOLFO CALLE,martes,3.54%,GNC,2053.2
2,2023-05-03,ADOLFO CALLE,miércoles,3.54%,GNC,2053.2
3,2023-05-04,ADOLFO CALLE,jueves,3.54%,GNC,2053.2
4,2023-05-05,ADOLFO CALLE,viernes,2.57%,GNC,1490.6
5,2023-05-06,ADOLFO CALLE,sábado,2.57%,GNC,1490.6
6,2023-05-07,ADOLFO CALLE,domingo,2.57%,GNC,1490.6
7,2023-05-08,ADOLFO CALLE,lunes,3.54%,GNC,2053.2
8,2023-05-09,ADOLFO CALLE,martes,3.54%,GNC,2053.2
9,2023-05-10,ADOLFO CALLE,miércoles,3.54%,GNC,2053.2
10,2023-05-11,ADOLFO CALLE,jueves,3.54%,GNC,2053.2
11,2023-05-12,ADOLFO CALLE,viernes,2.57%,GNC,1490.6
12,2023-05-13,ADOLFO CALLE,sábado,2.57%,GNC,1490.6
13,2023-05-14,ADOLFO CALLE,domingo,2.57%,GNC,1490.6
14,2023-05-15,ADOLFO CALLE,lunes,3.54%,GNC,2053.2
15,2023-05-16,ADOLFO CALLE,martes,3.54%,GNC,2053.2
16,2023-05-17,ADOLFO CALLE,miércoles,3.54%,GNC,2053.2
17,2023-05-18,ADOLFO CALLE,jueves,3.54%,GNC,2053.2
18,2023-05-19,ADOLFO CALLE,viernes,2.57%,GNC,1490.6
19,2023-05-20,ADOLFO CALLE,sábado,2.57%,GNC,1490.6
20,2023-05-21,ADOLFO CALLE,domingo,2.57%,GNC,1490.6
21,2023-05-22,ADOLFO CALLE,lunes,3.54%,GNC,2053.2
22,2023-05-23,ADOLFO CALLE,martes,3.54%,GNC,2053.2
23,2023-05-24,ADOLFO CALLE,miércoles,3.54%,GNC,2053.2
24,2023-05-25,ADOLFO CALLE,jueves,3.54%,GNC,2053.2
25,2023-05-26,ADOLFO CALLE,viernes,2.57%,GNC,1490.6
26,2023-05-27,ADOLFO CALLE,sábado,2.57%,GNC,1490.6
27,2023-05-28,ADOLFO CALLE,domingo,2.57%,GNC,1490.6
28,2023-05-29,ADOLFO CALLE,lunes,4.54%,GNC,2633.2
29,2023-05-30,ADOLFO CALLE,martes,4.44%,GNC,2575.2
30,2023-05-31,ADOLFO CALLE,miércoles,3.54%,GNC,2053.2
31,2023-05-01,URQUIZA,lunes,3.54%,GNC,1398.3
32,2023-05-02,URQUIZA,martes,3.54%,GNC,1398.3
